"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<TChinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Korean>";"<Hungarian>";"<Belarusian>";"<Romanian>";"<Comments>"
"header";"War Thunder (Settings)";"War Thunder (Paramètres)";"War Thunder (Impostazioni)";"War Thunder (Einstellungen)";"War Thunder (Configuraciones)";"War Thunder (Настройки)";"War Thunder (Ustawienia)";"War Thunder (Nastavení)";"War Thunder (Ayarlar)";"WarThunder（设置）";"WarThunder（設定）";"War Thunder (設定)";"War Thunder (Configurações)";"War Thunder (Cài đặt)";"War Thunder (Налаштування)";"War Thunder (Podešavanja)";"워 썬더 (설정)";"War Thunder (Beállítások)";"War Thunder (Налады)";"War Thunder (Setări)";""
"settings/ultralow";"♂slave♂";"Minimum";"min";"Minimal";"mín.";"минимум";"Minimalne";"minimální";"min";"最低";"最低";"最小";"nim";"thấp nhất";"мінімум";"minimum";"최소";"minimális";"найніжэйшыя";"min";""
"settings/low";"low";"Bas";"basso";"Niedrig";"bajo";"низкие";"Niskie";"nízké";"düşük";"低";"低";"低";"baixo";"thấp";"низькі";"niska";"낮음";"alacsony";"нізкія";"mică";""
"settings/medium";"medium";"Moyen";"medio";"Mittel";"medio";"средние";"Średnie";"střední";"orta";"中";"中";"中";"médio";"bình thường";"середні";"srednja";"중간";"közepes";"сярэднія";"medie";""
"settings/high";"high";"Haut";"alto";"Hoch";"alto";"высокие";"Wysokie";"vysoké";"yüksek";"高";"高";"高";"alto";"cao";"високі";"visoka";"높음";"magas";"высокія";"mare";""
"settings/max";"sex";"Maximum";"max";"Maximal";"máx.";"максимальные";"Maksymalne";"maximální";"maks";"最高";"最高";"最大";"máximo";"cao nhất";"максимальні";"maksimum";"최대";"maximális";"найвышэйшыя";"max";""
"settings/movie";"movie";"Film";"film";"Film";"película";"кино";"Film";"film";"film";"电影";"電影";"動画";"filme";"phim ảnh";"кіно";"filmska";"영화";"filmszerű";"кіно";"film";""
"settings/custom";"♂cum♂";"Personnalisé";"personalizzato";"Benutzerdefiniert";"personalizar";"пользовательские";"Użytkownika";"vlastní";"özel";"自定义";"自定義";"カスタム";"personalizado";"tùy chỉnh";"користувацькі";"podesiva";"사용자 지정";"egyéni";"карыстальніцкія";"personal";""
"setting/ultralow";"min";"Minimum";"min";"Minimal";"mín.";"минимум";"Minimalne";"minimální";"min";"最低";"最低";"最小";"nim";"thấp nhất";"мінімум";"minimum";"최소";"minimális";"найніжэйшыя";"min";""
"setting/low";"low";"Bas";"basso";"Niedrig";"bajo";"низкое";"Niskie";"nízké";"düşük";"低";"低";"低";"baixo";"thấp";"низька";"niska";"낮음";"alacsony";"нізкая";"mică";""
"setting/medium";"medium";"Moyen";"medio";"Mittel";"medio";"среднее";"Średnie";"střední";"orta";"中";"中";"中";"médio";"bình thường";"середня";"srednja";"중간";"közepes";"сярэдняя";"medie";""
"setting/high";"high";"Haut";"alto";"Hoch";"alto";"высокое";"Wysokie";"vysoké";"yüksek";"高";"高";"高";"alto";"cao";"висока";"visoka";"높음";"magas";"высокая";"mare";""
"setting/ultrahigh";"very high";"Très haut";"molto alto";"Sehr hoch";"muy alta";"очень высокое";"Superwysokie";"velmi vysoké";"çok yüksek";"超高";"非常高";"非常に高い";"muito alto";"rất cao";"надвисока";"veoma visoka";"매우 높음";"nagyon magas";"вельмі высокая";"foarte mare";""
"setting/ultrasuperhigh";"ultra high";"Ultra haut";"ultra";"Ultra hoch";"superior";"ультрасверхвысокое";"Ultrawysokie";"ultravysoké";"ultra yüksek";"甚高";"超級高";"超高い";"ultra alto";"tối đa";"ультранадвисока";"ultra visoka";"아주 높음";"ultra";"ультра высокая";"maximă";""
"setting/off";"off";"Désactivé";"Disattivato";"Aus";"Off";"нет";"Brak";"vypnuto";"kapalı";"关";"關";"オフ";"off";"tắt";"немає";"Bez";"끄기";"ki";"няма";"oprit";""
"settings/adv/renderer";"Render";"Rendu";"Rendering";"Renderer";"Renderizado";"Рендер";"Renderowanie";"Vykreslování";"Render";"渲染";"渲染";"レンダリング";"Renderização";"Hiển thị";"Рендер";"Render";"렌더링";"Renderelés";"Рэндэрынг";"Generare";""
"settings/adv/instancing";"Instancing";"Instances";"Istanze";"Instanziierung";"Instancia";"Инстансинг";"Instancjonowanie";"Vytváření instancí";"Instancing";"实例化";"實例化";"インスタンス化";"Instanciação";"Ví dụ";"Інстансінг";"Instanciranje";"인스턴싱";"Példányosítás";"Мнагакратная фотаздымка";"Instanțiere";""
"settings/adv/planes";"Planes";"Avions";"Aerei";"Flugzeuge";"Aviones";"Самолёты";"Lotnictwo";"Letadla";"Uçaklar";"飞机";"飛機";"航空機";"Aviões";"Máy bay";"Літаки";"Avioni";"비행기";"Repülőgépek";"Самалёты";"Avioane";""
"settings/adv/enemiesPlanes";"Enemy planes";"Avions ennemis";"Aerei Nemici";"Feindl. Flugzeuge";"Aviones enemigos";"Самолёты противников";"Wrogie lotnictwo";"Nepřátelská letadla";"Düşman Uçakları";"敌机";"敵機";"Enemies planes";"Aviões inimigos";"Máy bay địch";"Літаки ворога";"Neprijateljski avioni";"적 비행기";"Ellenséges repülőgépek";"Самалёты супраціўніка";"Avioane inamice";""
"settings/main/fullscreen";"Fullscreen";"Plein écran";"Schermo intero";"Vollbild";"Pantalla completa";"Полноэкранный";"Pełny ekran";"Celá obrazovka";"Tam ekran";"全屏模式";"全螢幕模式";"フルスクリーン";"Ecrã inteiro";"Toàn màn hình";"Повноекранний";"Ceo ekran";"전체 화면";"Teljes képernyő";"На ўвесь экран";"Ecran complet";""
"settings/main/fullscreenwindowed";"Full window";"Pleine fenêtre";"Finestra intera";"Vollbild (Fenstermodus)";"Ventana completa";"Полноэкранное окно";"Pełne okno";"Celá obrazovka v okně";"Tam pencere";"全屏窗口模式";"全螢幕視窗模式";"全画面";"Janela completa";"Toàn cửa sổ";"Повноекранне вікно";"Ceo prozor";"전체 창";"Teljes ablak";"У акне на ўвесь экран";"Fereastră completă";""
"settings/main";"Main settings";"Paramètres généraux";"Impostazioni principali";"Einstellungen";"Configuración general";"Основные настройки";"Ustawienia podstawowe";"Hlavní nastavení";"Ana Ayarlar";"主要设置";"主要設定";"メイン設定";"Configurações gerais";"Cài đặt chính";"Основні налаштування";"Opšta podešavanja";"주 설정";"Fő beállítások";"Асноўныя налады";"Setări principale";""
"settings/main/resolution";"Resolution";"Résolution ";"Risoluzione";"Auflösung";"Resolución";"Разрешение";"Rozdzielczość";"Rozlišení";"Çözünürlük";"分辨率";"解析度";"解像度";"Resolução";"Độ phân giải";"Роздільна здатність";"Rezolucija";"해상도";"Felbontás";"Разрознасць";"Rezoluție";""
